SNo,Questions,Hints,Answers,DigitsCount
1, X is an odd number. Take an alphabet away from X and it becomes even. Which is that number? , Answer: Seven (Seven-S=Even) ,7,1
2," A grandmother, two mothers, and two daughters went to a baseball game together and bought one ticket each. How many tickets did they buy in total?    ", Answer:  3 tickets (the grandmother is also a mother and the mother is also a daughter) ,3,1
3," At the time of shipping, Tom can place 10 small boxes or 8 large  boxes into a carton. A total of 96 boxes were sent in one shipment. The  number of small boxes was less than large boxes. What is the total  number of cartons he shipped? ",Answer: 11 cartons 4 small boxes (410 = 40 boxes) 7 large boxes (78 = 56 boxes) So 96 boxes and 11 total cartons,11,2
4," When Miguel was 6 years old, his little sister, Leila, was half is age. If Miguel is 40 years old today, how old is Leila?   ", Answer: She is 37 years old. ,37,2
5, You are given 3 positive numbers. You can add these numbers and  multiply them together. The result you get will be the same. Which are  the numbers? ," Answer: 1, 2 and 3 ",123,3
6, Tom was asked to paint the number of plates on 100 apartments  which means he will have to paint numbers 1 through 100. Can you figure  out the number of times he will have to paint the number 8? ," Answer: 20 times. (8, 18, 28, 38, 48, 58, 68, 78, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 98) ",20,2
7, What is the maximum possible number of times you can subtract number 5 from number 25? ," Answer: Only once.  This is because when you subtract 5 from 25 for the first time, it becomes number 20, then 15 and so on. ",1,1
8," Leon works at the aquarium. When he tries to put each turtle in its own tank, he has one turtle too many. But if he puts two turtles per tank, he has on tank too many. How many turtles and how many tanks does Leon have?   ", Answer: He has 3 tanks and 4 turtles ,34,2
9, A 300 ft. train is traveling 300 ft. per minute must travel through a  300 ft. long tunnel.  How long will it take the train to travel through  the tunnel? , Answer:  Two minutes. It takes the front of the train one minute and the rest of the train will take two minutes to clear the tunnel. ,2,1
10, I am a three-digit number. My second digit is 4 times bigger  than the third digit. My first digit is 3 less than my second digit. Who  am I? , Answer: 141 ,141,3
11," There are 100 pairs of dogs in a zoo. Two pairs of babiesp are born for  every dog. Unfortunately, 23 of the dogs have not survived. How many  dogs would be left in total? ", Answer: 977 dogs (100 x 2 = 200 ;  200 + 800 = 1000;   1000 – 23 = 977) ,977,3
12," A group of students were standing in the blazing sun facing due  west on a march past event. The leader shouted at them: Right turn!  About turn! Left turn! At the end of these commands, in which direction  is the students facing now? East-1, West-2, North-3, South-4 "," Answer: East. They will turn 90 degrees in a right  turn, and they turn180 degrees in an about-turn, and finally they turn  90 degrees in a left turn. Therefore, the students are now facing east. ",1,1
13,  Eggs are $0.12 a dozen. How many eggs can you get for a dollar? ," Answer:   100 eggs, at one penny each ",100,3
14, I am a three-digit number. My tens digit is six more than my ones digit. My hundreds digit is eight less than my tens digit. What number am I? , Answer: 193 ,193,3
15," In an odd little town, there was an odd little stream, WIth odd little  fish in an odd little team. A stranger approached a local fisherman, And  asked him how much his odd little fish weighed. The odd little man  replied: All the fish in this stream weigh exactly 1/2 of a pound plus  1/2 of a fish. Isn’t that odd? How many pounds does an odd little fish  weigh? ", Answer:  One,1,1
16, How many sides does a circle have? ,Answer:  Two. The inside and the outside. ,2,1
17," A man is twice as old as his little sister. He is also half as  old as their dad. Over a period of 50 years, the age of the sister will  become half of their dad’s age. What is the age of the man now? ", Answer: He is 50 years old. ,50,2
18, What is the difference between a dollar and a half and thirty five-cents. , Answer:  Nothing,0,1
19," If you multiply this number by any other number, the answer will always be the same. What number is this? ", Answer:  Zero,0,1
20," There is a clothing store in Bartlesville. The owner has devised his own  method of pricing items. A vest costs $20, socks cost $25, a tie costs  $15 and a blouse costs $30. Using the method, how much would a pair of  underwear cost ",Answer:  $45. The pricing method consists of charging $5 for each letter required to spell the item. ,45,2
21," If seven people meet each other and each shakes hands only once with  each of the others, how many handshakes will there have been? ", Answer: Twenty One,21,2
